id,name,city,amount,status,note
64,user14,city4,1064,ok,note4
65,user15,city5,1065,ok,note5
66,user16,city6,1066,pending,note6
67,user17,city7,1067,ok,note7
68,user18,city8,1068,ok,note8
69,user19,city9,1069,pending,note9
70,user20,city10,1070,ok,note10
71,user21,city11,1071,ok,note11
72,user22,city12,1072,pending,note12
73,user23,city13,1073,ok,note13
74,user24,city14,1074,ok,note14
75,user25,city15,1075,pending,note15
76,user26,city16,1076,ok,note16
77,user27,city17,1077,ok,note17
78,user28,city18,1078,pending,note18
79,user29,city19,1079,ok,note19
80,user30,city0,1080,ok,note20
81,user31,city1,1081,pending,note21
82,user32,city2,1082,ok,note22
83,user33,city3,1083,ok,note23
84,user34,city4,1084,pending,note24
85,user35,city5,1085,ok,note25
86,user36,city6,1086,ok,note26
87,user37,city7,1087,pending,note27
88,user38,city8,1088,ok,note28
89,user39,city9,1089,ok,note29
90,user40,city10,1090,pending,note0
91,user41,city11,1091,ok,note1
92,user42,city12,1092,ok,note2
93,user43,city13,1093,pending,note3
94,user44,city14,1094,ok,note4
95,user45,city15,1095,ok,note5
96,user46,city16,1096,pending,note6
97,user47,city17,1000,ok,note7
98,user48,city18,1001,ok,note8
99,user49,city19,1002,pending,note9
100,user0,city0,1003,ok,note10
101,user1,city1,1004,ok,note11
102,user2,city2,1005,pending,note12
103,user3,city3,1006,ok,note13
104,user4,city4,1007,ok,note14
105,user5,city5,1008,pending,note15
106,user6,city6,1009,ok,note16
107,user7,city7,1010,ok,note17
108,user8,city8,1011,pending,note18
109,user9,city9,1012,ok,note19
110,user10,city10,1013,ok,note20
111,user11,city11,1014,pending,note21
112,user12,city12,1015,ok,note22
113,user13,city13,1016,ok,note23
114,user14,city14,1017,pending,note24
115,user15,city15,1018,ok,note25
116,user16,city16,1019,ok,note26
117,user17,city17,1020,pending,note27
118,user18,city18,1021,ok,note28
119,user19,city19,1022,ok,note29
120,user20,city0,1023,pending,note0
121,user21,city1,1024,ok,note1
122,user22,city2,1025,ok,note2
123,user23,city3,1026,pending,note3
124,user24,city4,1027,ok,note4
125,user25,city5,1028,ok,note5
126,user26,city6,1029,pending,note6
127,user27,city7,1030,ok,note7
128,user28,city8,1031,ok,note8
129,user29,city9,1032,pending,note9
130,user30,city10,1033,ok,note10
131,user31,city11,1034,ok,note11
132,user32,city12,1035,pending,note12
133,user33,city13,1036,ok,note13
134,user34,city14,1037,ok,note14
135,user35,city15,1038,pending,note15
136,user36,city16,1039,ok,note16
137,user37,city17,1040,ok,note17
138,user38,city18,1041,pending,note18
139,user39,city19,1042,ok,note19
140,user40,city0,1043,ok,note20
141,user41,city1,1044,pending,note21
142,user42,city2,1045,ok,note22
143,user43,city3,1046,ok,note23
144,user44,city4,1047,pending,note24
145,user45,city5,1048,ok,note25
146,user46,city6,1049,ok,note26
147,user47,city7,1050,pending,note27
148,user48,city8,1051,ok,note28
149,user49,city9,1052,ok,note29
150,user0,city10,1053,pending,note0
151,user1,city11,1054,ok,note1
152,user2,city12,1055,ok,note2
153,user3,city13,1056,pending,note3
154,user4,city14,1057,ok,note4
155,user5,city15,1058,ok,note5
156,user6,city16,1059,pending,note6
157,user7,city17,1060,ok,note7
158,user8,city18,1061,ok,note8
159,user9,city19,1062,pending,note9
160,user10,city0,1063,ok,note10
161,user11,city1,1064,ok,note11
162,user12,city2,1065,pending,note12
163,user13,city3,1066,ok,note13
164,user14,city4,1067,ok,note14
165,user15,city5,1068,pending,note15
166,user16,city6,1069,ok,note16
167,user17,city7,1070,ok,note17
168,user18,city8,1071,pending,note18
169,user19,city9,1072,ok,note19
170,user20,city10,1073,ok,note20
171,user21,city11,1074,pending,note21
172,user22,city12,1075,ok,note22
173,user23,city13,1076,ok,note23
174,user24,city14,1077,pending,note24
175,user25,city15,1078,ok,note25
176,user26,city16,1079,ok,note26
177,user27,city17,1080,pending,note27
178,user28,city18,1081,ok,note28
179,user29,city19,1082,ok,note29
180,user30,city0,1083,pending,note0
181,user31,city1,1084,ok,note1
182,user32,city2,1085,ok,note2
183,user33,city3,1086,pending,note3
184,user34,city4,1087,ok,note4
185,user35,city5,1088,ok,note5
186,user36,city6,1089,pending,note6
187,user37,city7,1090,ok,note7
188,user38,city8,1091,ok,note8
189,user39,city9,1092,pending,note9
190,user40,city10,1093,ok,note10
191,user41,city11,1094,ok,note11
192,user42,city12,1095,pending,note12
193,user43,city13,1096,ok,note13
194,user44,city14,1000,ok,note14
195,user45,city15,1001,pending,note15
196,user46,city16,1002,ok,note16
197,user47,city17,1003,ok,note17
198,user48,city18,1004,pending,note18
199,user49,city19,1005,ok,note19
200,user0,city0,1006,ok,note20
201,user1,city1,1007,pending,note21
202,user2,city2,1008,ok,note22
203,user3,city3,1009,ok,note23
204,user4,city4,1010,pending,note24
205,user5,city5,1011,ok,note25
206,user6,city6,1012,ok,note26
207,user7,city7,1013,pending,note27
208,user8,city8,1014,ok,note28
209,user9,city9,1015,ok,note29
210,user10,city10,1016,pending,note0
211,user11,city11,1017,ok,note1
212,user12,city12,1018,ok,note2
213,user13,city13,1019,pending,note3
214,user14,city14,1020,ok,note4
215,user15,city15,1021,ok,note5
216,user16,city16,1022,pending,note6
217,user17,city17,1023,ok,note7
218,user18,city18,1024,ok,note8
219,user19,city19,1025,pending,note9
220,user20,city0,1026,ok,note10
221,user21,city1,1027,ok,note11
222,user22,city2,1028,pending,note12
223,user23,city3,1029,ok,note13
224,user24,city4,1030,ok,note14
225,user25,city5,1031,pending,note15
226,user26,city6,1032,ok,note16
227,user27,city7,1033,ok,note17
228,user28,city8,1034,pending,note18
229,user29,city9,1035,ok,note19
230,user30,city10,1036,ok,note20
231,user31,city11,1037,pending,note21
232,user32,city12,1038,ok,note22
233,user33,city13,1039,ok,note23
234,user34,city14,1040,pending,note24
235,user35,city15,1041,ok,note25
236,user36,city16,1042,ok,note26
237,user37,city17,1043,pending,note27
238,user38,city18,1044,ok,note28
239,user39,city19,1045,ok,note29
240,user40,city0,1046,pending,note0
241,user41,city1,1047,ok,note1
242,user42,city2,1048,ok,note2
243,user43,city3,1049,pending,note3
244,user44,city4,1050,ok,note4
245,user45,city5,1051,ok,note5
246,user46,city6,1052,pending,note6
247,user47,city7,1053,ok,note7
248,user48,city8,1054,ok,note8
249,user49,city9,1055,pending,note9
250,user0,city10,1056,ok,note10
251,user1,city11,1057,ok,note11
252,user2,city12,1058,pending,note12
253,user3,city13,1059,ok,note13
254,user4,city14,1060,ok,note14
255,user5,city15,1061,pending,note15
256,user6,city16,1062,ok,note16
257,user7,city17,1063,ok,note17
258,user8,city18,1064,pending,note18
259,user9,city19,1065,ok,note19
260,user10,city0,1066,ok,note20
261,user11,city1,1067,pending,note21
262,user12,city2,1068,ok,note22
263,user13,city3,1069,ok,note23
264,user14,city4,1070,pending,note24
265,user15,city5,1071,ok,note25
266,user16,city6,1072,ok,note26
267,user17,city7,1073,pending,note27
268,user18,city8,1074,ok,note28
269,user19,city9,1075,ok,note29
270,user20,city10,1076,pending,note0
271,user21,city11,1077,ok,note1
272,user22,city12,1078,ok,note2
273,user23,city13,1079,pending,note3
274,user24,city14,1080,ok,note4
275,user25,city15,1081,ok,note5
276,user26,city16,1082,pending,note6
277,user27,city17,1083,ok,note7
278,user28,city18,1084,ok,note8
279,user29,city19,1085,pending,note9
280,user30,city0,1086,ok,note10
281,user31,city1,1087,ok,note11
282,user32,city2,1088,pending,note12
283,user33,city3,1089,ok,note13
284,user34,city4,1090,ok,note14
285,user35,city5,1091,pending,note15
286,user36,city6,1092,ok,note16
287,user37,city7,1093,ok,note17
288,user38,city8,1094,pending,note18
289,user39,city9,1095,ok,note19
290,user40,city10,1096,ok,note20
291,user41,city11,1000,pending,note21
292,user42,city12,1001,ok,note22
293,user43,city13,1002,ok,note23
294,user44,city14,1003,pending,note24
295,user45,city15,1004,ok,note25
296,user46,city16,1005,ok,note26
297,user47,city17,1006,pending,note27
298,user48,city18,1007,ok,note28
299,user49,city19,1008,ok,note29
300,user0,city0,1009,pending,note0
301,user1,city1,1010,ok,note1
302,user2,city2,1011,ok,note2
303,user3,city3,1012,pending,note3
304,user4,city4,1013,ok,note4
305,user5,city5,1014,ok,note5
306,user6,city6,1015,pending,note6
307,user7,city7,1016,ok,note7
308,user8,city8,1017,ok,note8
309,user9,city9,1018,pending,note9
310,user10,city10,1019,ok,note10
311,user11,city11,1020,ok,note11
312,user12,city12,1021,pending,note12
313,user13,city13,1022,ok,note13
314,user14,city14,1023,ok,note14
315,user15,city15,1024,pending,note15
316,user16,city16,1025,ok,note16
317,user17,city17,1026,ok,note17
318,user18,city18,1027,pending,note18
319,user19,city19,1028,ok,note19
320,user20,city0,1029,ok,note20
321,user21,city1,1030,pending,note21
322,user22,city2,1031,ok,note22
323,user23,city3,1032,ok,note23
324,user24,city4,1033,pending,note24
325,user25,city5,1034,ok,note25
326,user26,city6,1035,ok,note26
327,user27,city7,1036,pending,note27
328,user28,city8,1037,ok,note28
329,user29,city9,1038,ok,note29
330,user30,city10,1039,pending,note0
331,user31,city11,1040,ok,note1
332,user32,city12,1041,ok,note2
333,user33,city13,1042,pending,note3
334,user34,city14,1043,ok,note4
335,user35,city15,1044,ok,note5
336,user36,city16,1045,pending,note6
337,user37,city17,1046,ok,note7
338,user38,city18,1047,ok,note8
339,user39,city19,1048,pending,note9
340,user40,city0,1049,ok,note10
341,user41,city1,1050,ok,note11
342,user42,city2,1051,pending,note12
343,user43,city3,1052,ok,note13
344,user44,city4,1053,ok,note14
345,user45,city5,1054,pending,note15
346,user46,city6,1055,ok,note16
347,user47,city7,1056,ok,note17
348,user48,city8,1057,pending,note18
349,user49,city9,1058,ok,note19
350,user0,city10,1059,ok,note20
351,user1,city11,1060,pending,note21
352,user2,city12,1061,ok,note22
353,user3,city13,1062,ok,note23
354,user4,city14,1063,pending,note24
355,user5,city15,1064,ok,note25
356,user6,city16,1065,ok,note26
357,user7,city17,1066,pending,note27
358,user8,city18,1067,ok,note28
359,user9,city19,1068,ok,note29
360,user10,city0,1069,pending,note0
361,user11,city1,1070,ok,note1
362,user12,city2,1071,ok,note2
363,user13,city3,1072,pending,note3
364,user14,city4,1073,ok,note4
365,user15,city5,1074,ok,note5
366,user16,city6,1075,pending,note6
367,user17,city7,1076,ok,note7
368,user18,city8,1077,ok,note8
369,user19,city9,1078,pending,note9
370,user20,city10,1079,ok,note10
371,user21,city11,1080,ok,note11
372,user22,city12,1081,pending,note12
373,user23,city13,1082,ok,note13
374,user24,city14,1083,ok,note14
375,user25,city15,1084,pending,note15
376,user26,city16,1085,ok,note16
377,user27,city17,1086,ok,note17
378,user28,city18,1087,pending,note18
379,user29,city19,1088,ok,note19
380,user30,city0,1089,ok,note20
381,user31,city1,1090,pending,note21
382,user32,city2,1091,ok,note22
383,user33,city3,1092,ok,note23
384,user34,city4,1093,pending,note24
385,user35,city5,1094,ok,note25
386,user36,city6,1095,ok,note26
387,user37,city7,1096,pending,note27
388,user38,city8,1000,ok,note28
389,user39,city9,1001,ok,note29
390,user40,city10,1002,pending,note0
391,user41,city11,1003,ok,note1
392,user42,city12,1004,ok,note2
393,user43,city13,1005,pending,note3
394,user44,city14,1006,ok,note4
395,user45,city15,1007,ok,note5
396,user46,city16,1008,pending,note6
397,user47,city17,1009,ok,note7
398,user48,city18,1010,ok,note8
399,user49,city19,1011,pending,note9
400,user0,city0,1012,ok,note10
401,user1,city1,1013,ok,note11
402,user2,city2,1014,pending,note12
403,user3,city3,1015,ok,note13
404,user4,city4,1016,ok,note14
405,user5,city5,1017,pending,note15
406,user6,city6,1018,ok,note16
407,user7,city7,1019,ok,note17
408,user8,city8,1020,pending,note18
409,user9,city9,1021,ok,note19
410,user10,city10,1022,ok,note20
411,user11,city11,1023,pending,note21
412,user12,city12,1024,ok,note22
413,user13,city13,1025,ok,note23
414,user14,city14,1026,pending,note24
415,user15,city15,1027,ok,note25
416,user16,city16,1028,ok,note26
417,user17,city17,1029,pending,note27
418,user18,city18,1030,ok,note28
419,user19,city19,1031,ok,note29
420,user20,city0,1032,pending,note0
421,user21,city1,1033,ok,note1
422,user22,city2,1034,ok,note2
423,user23,city3,1035,pending,note3
424,user24,city4,1036,ok,note4
425,user25,city5,1037,ok,note5
426,user26,city6,1038,pending,note6
427,user27,city7,1039,ok,note7
428,user28,city8,1040,ok,note8
429,user29,city9,1041,pending,note9
430,user30,city10,1042,ok,note10
431,user31,city11,1043,ok,note11
432,user32,city12,1044,pending,note12
433,user33,city13,1045,ok,note13
434,user34,city14,1046,ok,note14
435,user35,city15,1047,pending,note15
436,user36,city16,1048,ok,note16
437,user37,city17,1049,ok,note17
438,user38,city18,1050,pending,note18
439,user39,city19,1051,ok,note19
440,user40,city0,1052,ok,note20
441,user41,city1,1053,pending,note21
442,user42,city2,1054,ok,note22
443,user43,city3,1055,ok,note23
444,user44,city4,1056,pending,note24
445,user45,city5,1057,ok,note25
446,user46,city6,1058,ok,note26
447,user47,city7,1059,pending,note27
448,user48,city8,1060,ok,note28
449,user49,city9,1061,ok,note29
450,user0,city10,1062,pending,note0
451,user1,city11,1063,ok,note1
452,user2,city12,1064,ok,note2
453,user3,city13,1065,pending,note3
454,user4,city14,1066,ok,note4
455,user5,city15,1067,ok,note5
456,user6,city16,1068,pending,note6
457,user7,city17,1069,ok,note7
458,user8,city18,1070,ok,note8
459,user9,city19,1071,pending,note9
460,user10,city0,1072,ok,note10
461,user11,city1,1073,ok,note11
462,user12,city2,1074,pending,note12
463,user13,city3,1075,ok,note13
464,user14,city4,1076,ok,note14
465,user15,city5,1077,pending,note15
466,user16,city6,1078,ok,note16
467,user17,city7,1079,ok,note17
468,user18,city8,1080,pending,note18
469,user19,city9,1081,ok,note19
470,user20,city10,1082,ok,note20
471,user21,city11,1083,pending,note21
472,user22,city12,1084,ok,note22
473,user23,city13,1085,ok,note23
474,user24,city14,1086,pending,note24
475,user25,city15,1087,ok,note25
476,user26,city16,1088,ok,note26
477,user27,city17,1089,pending,note27
478,user28,city18,1090,ok,note28
479,user29,city19,1091,ok,note29
480,user30,city0,1092,pending,note0
481,user31,city1,1093,ok,note1
482,user32,city2,1094,ok,note2
483,user33,city3,1095,pending,note3
484,user34,city4,1096,ok,note4
485,user35,city5,1000,ok,note5
486,user36,city6,1001,pending,note6
487,user37,city7,1002,ok,note7
488,user38,city8,1003,ok,note8
489,user39,city9,1004,pending,note9
490,user40,city10,1005,ok,note10
491,user41,city11,1006,ok,note11
492,user42,city12,1007,pending,note12
493,user43,city13,1008,ok,note13
494,user44,city14,1009,ok,note14
495,user45,city15,1010,pending,note15
496,user46,city16,1011,ok,note16
497,user47,city17,1012,ok,note17
498,user48,city18,1013,pending,note18
499,user49,city19,1014,ok,note19
500,user0,city0,1015,ok,note20
501,user1,city1,1016,pending,note21
502,user2,city2,1017,ok,note22
503,user3,city3,1018,ok,note23
504,user4,city4,1019,pending,note24
505,user5,city5,1020,ok,note25
506,user6,city6,1021,ok,note26
507,user7,city7,1022,pending,note27
508,user8,city8,1023,ok,note28
509,user9,city9,1024,ok,note29
510,user10,city10,1025,pending,note0
511,user11,city11,1026,ok,note1
512,user12,city12,1027,ok,note2
513,user13,city13,1028,pending,note3
514,user14,city14,1029,ok,note4
515,user15,city15,1030,ok,note5
516,user16,city16,1031,pending,note6
517,user17,city17,1032,ok,note7
518,user18,city18,1033,ok,note8
519,user19,city19,1034,pending,note9
520,user20,city0,1035,ok,note10
521,user21,city1,1036,ok,note11
522,user22,city2,1037,pending,note12
523,user23,city3,1038,ok,note13
524,user24,city4,1039,ok,note14
525,user25,city5,1040,pending,note15
526,user26,city6,1041,ok,note16
527,user27,city7,1042,ok,note17
528,user28,city8,1043,pending,note18
529,user29,city9,1044,ok,note19
530,user30,city10,1045,ok,note20
531,user31,city11,1046,pending,note21
532,user32,city12,1047,ok,note22
533,user33,city13,1048,ok,note23
534,user34,city14,1049,pending,note24
535,user35,city15,1050,ok,note25
536,user36,city16,1051,ok,note26
537,user37,city17,1052,pending,note27
538,user38,city18,1053,ok,note28
539,user39,city19,1054,ok,note29
540,user40,city0,1055,pending,note0
541,user41,city1,1056,ok,note1
542,user42,city2,1057,ok,note2
543,user43,city3,1058,pending,note3
544,user44,city4,1059,ok,note4
545,user45,city5,1060,ok,note5
546,user46,city6,1061,pending,note6
547,user47,city7,1062,ok,note7
548,user48,city8,1063,ok,note8
549,user49,city9,1064,pending,note9
550,user0,city10,1065,ok,note10
551,user1,city11,1066,ok,note11
552,user2,city12,1067,pending,note12
553,user3,city13,1068,ok,note13
554,user4,city14,1069,ok,note14
555,user5,city15,1070,pending,note15
556,user6,city16,1071,ok,note16
557,user7,city17,1072,ok,note17
558,user8,city18,1073,pending,note18
559,user9,city19,1074,ok,note19
560,user10,city0,1075,ok,note20
561,user11,city1,1076,pending,note21
562,user12,city2,1077,ok,note22
563,user13,city3,1078,ok,note23
564,user14,city4,1079,pending,note24
565,user15,city5,1080,ok,note25
566,user16,city6,1081,ok,note26
567,user17,city7,1082,pending,note27
568,user18,city8,1083,ok,note28
569,user19,city9,1084,ok,note29
570,user20,city10,1085,pending,note0
571,user21,city11,1086,ok,note1
572,user22,city12,1087,ok,note2
573,user23,city13,1088,pending,note3
574,user24,city14,1089,ok,note4
575,user25,city15,1090,ok,note5
576,user26,city16,1091,pending,note6
577,user27,city17,1092,ok,note7
578,user28,city18,1093,ok,note8
579,user29,city19,1094,pending,note9
580,user30,city0,1095,ok,note10
581,user31,city1,1096,ok,note11
582,user32,city2,1000,pending,note12
583,user33,city3,1001,ok,note13
584,user34,city4,1002,ok,note14
585,user35,city5,1003,pending,note15
586,user36,city6,1004,ok,note16
587,user37,city7,1005,ok,note17
588,user38,city8,1006,pending,note18
589,user39,city9,1007,ok,note19
590,user40,city10,1008,ok,note20
591,user41,city11,1009,pending,note21
592,user42,city12,1010,ok,note22
593,user43,city13,1011,ok,note23
594,user44,city14,1012,pending,note24
595,user45,city15,1013,ok,note25
596,user46,city16,1014,ok,note26
597,user47,city17,1015,pending,note27
598,user48,city18,1016,ok,note28
599,user49,city19,1017,ok,note29
600,user0,city0,1018,pending,note0
601,user1,city1,1019,ok,note1
602,user2,city2,1020,ok,note2
603,user3,city3,1021,pending,note3
604,user4,city4,1022,ok,note4
605,user5,city5,1023,ok,note5
606,user6,city6,1024,pending,note6
607,user7,city7,1025,ok,note7
608,user8,city8,1026,ok,note8
609,user9,city9,1027,pending,note9
610,user10,city10,1028,ok,note10
611,user11,city11,1029,ok,note11
612,user12,city12,1030,pending,note12
613,user13,city13,1031,ok,note13
614,user14,city14,1032,ok,note14
615,user15,city15,1033,pending,note15
616,user16,city16,1034,ok,note16
617,user17,city17,1035,ok,note17
618,user18,city18,1036,pending,note18
619,user19,city19,1037,ok,note19
620,user20,city0,1038,ok,note20
621,user21,city1,1039,pending,note21
622,user22,city2,1040,ok,note22
623,user23,city3,1041,ok,note23
624,user24,city4,1042,pending,note24
625,user25,city5,1043,ok,note25
626,user26,city6,1044,ok,note26
627,user27,city7,1045,pending,note27
628,user28,city8,1046,ok,note28
629,user29,city9,1047,ok,note29
630,user30,city10,1048,pending,note0
631,user31,city11,1049,ok,note1
632,user32,city12,1050,ok,note2
633,user33,city13,1051,pending,note3
634,user34,city14,1052,ok,note4
635,user35,city15,1053,ok,note5
636,user36,city16,1054,pending,note6
637,user37,city17,1055,ok,note7
638,user38,city18,1056,ok,note8
639,user39,city19,1057,pending,note9
640,user40,city0,1058,ok,note10
641,user41,city1,1059,ok,note11
642,user42,city2,1060,pending,note12
643,user43,city3,1061,ok,note13
644,user44,city4,1062,ok,note14
645,user45,city5,1063,pending,note15
646,user46,city6,1064,ok,note16
647,user47,city7,1065,ok,note17
648,user48,city8,1066,pending,note18
649,user49,city9,1067,ok,note19
650,user0,city10,1068,ok,note20
651,user1,city11,1069,pending,note21
652,user2,city12,1070,ok,note22
653,user3,city13,1071,ok,note23
654,user4,city14,1072,pending,note24
655,user5,city15,1073,ok,note25
656,user6,city16,1074,ok,note26
657,user7,city17,1075,pending,note27
658,user8,city18,1076,ok,note28
659,user9,city19,1077,ok,note29
660,user10,city0,1078,pending,note0
661,user11,city1,1079,ok,note1
662,user12,city2,1080,ok,note2
663,user13,city3,1081,pending,note3
664,user14,city4,1082,ok,note4
665,user15,city5,1083,ok,note5
666,user16,city6,1084,pending,note6
667,user17,city7,1085,ok,note7
668,user18,city8,1086,ok,note8
669,user19,city9,1087,pending,note9
670,user20,city10,1088,ok,note10
671,user21,city11,1089,ok,note11
672,user22,city12,1090,pending,note12
673,user23,city13,1091,ok,note13
674,user24,city14,1092,ok,note14
675,user25,city15,1093,pending,note15
676,user26,city16,1094,ok,note16
677,user27,city17,1095,ok,note17
678,user28,city18,1096,pending,note18
679,user29,city19,1000,ok,note19
680,user30,city0,1001,ok,note20
681,user31,city1,1002,pending,note21
682,user32,city2,1003,ok,note22
683,user33,city3,1004,ok,note23
684,user34,city4,1005,pending,note24
685,user35,city5,1006,ok,note25
686,user36,city6,1007,ok,note26
687,user37,city7,1008,pending,note27
688,user38,city8,1009,ok,note28
689,user39,city9,1010,ok,note29
690,user40,city10,1011,pending,note0
691,user41,city11,1012,ok,note1
692,user42,city12,1013,ok,note2
693,user43,city13,1014,pending,note3
694,user44,city14,1015,ok,note4
695,user45,city15,1016,ok,note5
696,user46,city16,1017,pending,note6
697,user47,city17,1018,ok,note7
698,user48,city18,1019,ok,note8
699,user49,city19,1020,pending,note9
700,user0,city0,1021,ok,note10
701,user1,city1,1022,ok,note11
702,user2,city2,1023,pending,note12
703,user3,city3,1024,ok,note13
704,user4,city4,1025,ok,note14
705,user5,city5,1026,pending,note15
706,user6,city6,1027,ok,note16
707,user7,city7,1028,ok,note17
708,user8,city8,1029,pending,note18
709,user9,city9,1030,ok,note19
710,user10,city10,1031,ok,note20
711,user11,city11,1032,pending,note21
712,user12,city12,1033,ok,note22
713,user13,city13,1034,ok,note23
714,user14,city14,1035,pending,note24
715,user15,city15,1036,ok,note25
716,user16,city16,1037,ok,note26
717,user17,city17,1038,pending,note27
718,user18,city18,1039,ok,note28
719,user19,city19,1040,ok,note29
720,user20,city0,1041,pending,note0
721,user21,city1,1042,ok,note1
722,user22,city2,1043,ok,note2
723,user23,city3,1044,pending,note3
724,user24,city4,1045,ok,note4
725,user25,city5,1046,ok,note5
726,user26,city6,1047,pending,note6
727,user27,city7,1048,ok,note7
728,user28,city8,1049,ok,note8
729,user29,city9,1050,pending,note9
730,user30,city10,1051,ok,note10
731,user31,city11,1052,ok,note11
732,user32,city12,1053,pending,note12
733,user33,city13,1054,ok,note13
734,user34,city14,1055,ok,note14
735,user35,city15,1056,pending,note15
736,user36,city16,1057,ok,note16
737,user37,city17,1058,ok,note17
738,user38,city18,1059,pending,note18
739,user39,city19,1060,ok,note19
740,user40,city0,1061,ok,note20
741,user41,city1,1062,pending,note21
742,user42,city2,1063,ok,note22
743,user43,city3,1064,ok,note23
744,user44,city4,1065,pending,note24
745,user45,city5,1066,ok,note25
746,user46,city6,1067,ok,note26
747,user47,city7,1068,pending,note27
748,user48,city8,1069,ok,note28
749,user49,city9,1070,ok,note29
750,user0,city10,1071,pending,note0
751,user1,city11,1072,ok,note1
752,user2,city12,1073,ok,note2
753,user3,city13,1074,pending,note3
754,user4,city14,1075,ok,note4
755,user5,city15,1076,ok,note5
756,user6,city16,1077,pending,note6
757,user7,city17,1078,ok,note7
758,user8,city18,1079,ok,note8
759,user9,city19,1080,pending,note9
760,user10,city0,1081,ok,note10
761,user11,city1,1082,ok,note11
762,user12,city2,1083,pending,note12
763,user13,city3,1084,ok,note13
764,user14,city4,1085,ok,note14
765,user15,city5,1086,pending,note15
766,user16,city6,1087,ok,note16
767,user17,city7,1088,ok,note17
768,user18,city8,1089,pending,note18
769,user19,city9,1090,ok,note19
770,user20,city10,1091,ok,note20
771,user21,city11,1092,pending,note21
772,user22,city12,1093,ok,note22
773,user23,city13,1094,ok,note23
774,user24,city14,1095,pending,note24
775,user25,city15,1096,ok,note25
776,user26,city16,1000,ok,note26
777,user27,city17,1001,pending,note27
778,user28,city18,1002,ok,note28
779,user29,city19,1003,ok,note29
780,user30,city0,1004,pending,note0
781,user31,city1,1005,ok,note1
782,user32,city2,1006,ok,note2
783,user33,city3,1007,pending,note3
784,user34,city4,1008,ok,note4
785,user35,city5,1009,ok,note5
786,user36,city6,1010,pending,note6
787,user37,city7,1011,ok,note7
788,user38,city8,1012,ok,note8
789,user39,city9,1013,pending,note9
790,user40,city10,1014,ok,note10
791,user41,city11,1015,ok,note11
792,user42,city12,1016,pending,note12
793,user43,city13,1017,ok,note13
794,user44,city14,1018,ok,note14
795,user45,city15,1019,pending,note15
796,user46,city16,1020,ok,note16
797,user47,city17,1021,ok,note17
798,user48,city18,1022,pending,note18
799,user49,city19,1023,ok,note19
800,user0,city0,1024,ok,note20
801,user1,city1,1025,pending,note21
802,user2,city2,1026,ok,note22
803,user3,city3,1027,ok,note23
804,user4,city4,1028,pending,note24
805,user5,city5,1029,ok,note25
806,user6,city6,1030,ok,note26
807,user7,city7,1031,pending,note27
808,user8,city8,1032,ok,note28
809,user9,city9,1033,ok,note29
810,user10,city10,1034,pending,note0
811,user11,city11,1035,ok,note1
812,user12,city12,1036,ok,note2
813,user13,city13,1037,pending,note3
814,user14,city14,1038,ok,note4
815,user15,city15,1039,ok,note5
816,user16,city16,1040,pending,note6
817,user17,city17,1041,ok,note7
818,user18,city18,1042,ok,note8
819,user19,city19,1043,pending,note9
820,user20,city0,1044,ok,note10
821,user21,city1,1045,ok,note11
